ticker,date,time,title,sentiment_value
APLE,2023-09-05,04:15PM,Apple Hospitality REIT Announces Dates for Third Quarter 2023 Earnings Release and Conference Call,neutral
APLE,2023-09-01,06:51PM,"Blackstone and Airbnb Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400 and S&P SmallCap 600",neutral
APLE,2023-08-18,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-08-03,04:15PM,Apple Hospitality REIT Reports Results of Operations for Second Quarter 2023,neutral
APLE,2023-07-20,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-07-05,04:15PM,Apple Hospitality REIT Acquires the Courtyard by Marriott Cleveland University Circle,neutral
APLE,2023-07-03,08:30AM,Do Options Traders Know Something About Apple Hospitality (APLE) Stock We Don't?,neutral
APLE,2023-06-28,04:15PM,Apple Hospitality REIT Recognizes Top Performers with 2022 Apple Awards,neutral
APLE,2023-06-20,04:15PM,Apple Hospitality REIT Announces Dates for Second Quarter 2023 Earnings Release and Conference Call,neutral
APLE,2023-06-20,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-05-31,08:34AM,Is the Options Market Predicting a Spike in Apple Hospitality (APLE) Stock?,neutral
APLE,2023-05-18,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-05-02,08:24PM,Wells Fargo Says Buy These 2 High-Yield Dividend Stocks  Including One With 10% Yield,neutral
APLE,2023-05-02,04:15PM,Apple Hospitality REIT Reports Results of Operations for First Quarter 2023,neutral
APLE,2023-04-18,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-03-23,04:15PM,Apple Hospitality REIT Announces Dates for First Quarter 2023 Earnings Release and Conference Call,neutral
APLE,2023-03-20,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-03-03,09:00AM,Apple Hospitality REIT Appoints Carolyn Handlon to Board of Directors and Announces Date for 2023 Annual Meeting of Shareholders,neutral
APLE,2023-02-21,04:15PM,Apple Hospitality REIT Reports Results of Operations for Fourth Quarter and Full Year 2022,neutral
APLE,2023-02-17,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-01-20,09:00AM,Apple Hospitality REIT Announces Monthly Distribution,neutral
APLE,2023-01-09,04:15PM,Apple Hospitality REIT Announces Dates for Fourth Quarter and Full Year 2022 Earnings Release and Conference Call,neutral
APLE,2022-12-22,04:15PM,Apple Hospitality REIT Publishes Inaugural Corporate Responsibility Report,neutral
APLE,2022-12-20,09:00AM,Apple Hospitality REIT Announces Monthly Distribution and Special Distribution for 2022,neutral
APLE,2022-11-18,09:00AM,Apple Hospitality REIT Announces December 2022 Distribution,neutral
APLE,2022-11-07,04:15PM,Apple Hospitality REIT Reports Results of Operations for Third Quarter 2022,neutral
APLE,2022-10-26,04:15PM,Apple Hospitality REIT Acquires the AC Hotel by Marriott Louisville Downtown and the AC Hotel by Marriott Pittsburgh Downtown,neutral
APLE,2022-10-20,09:00AM,Apple Hospitality REIT Announces Increase in Monthly Distribution Beginning with November 2022 Distribution,positive
APLE,2022-09-20,09:00AM,Apple Hospitality REIT Announces October 2022 Distribution,neutral
APLE,2022-09-15,04:15PM,Apple Hospitality REIT Announces Dates for Third Quarter 2022 Earnings Release and Conference Call,neutral
APLE,2022-08-17,09:00AM,Apple Hospitality REIT Announces Increase in Monthly Distribution Beginning with September 2022 Distribution,positive
APLE,2022-08-04,04:15PM,Apple Hospitality REIT Reports Results of Operations for Second Quarter 2022,neutral
APLE,2022-08-04,09:30AM,Apple Hospitality REIT (APLE) Just Reclaimed the 200-Day Moving Average,neutral
APLE,2022-08-04,08:02AM,"What Type Of Shareholders Make Up Apple Hospitality REIT, Inc.'s (NYSE:APLE) Share Registry?",neutral
APLE,2022-07-27,04:15PM,"Apple Hospitality REIT Successfully Upsizes and Extends Primary Unsecured Credit Facility, Enhancing Balance Sheet Strength and Flexibility",positive
APLE,2022-07-20,09:00AM,Apple Hospitality REIT Announces August 2022 Distribution,neutral
APLE,2022-07-12,09:55AM,Wall Street Analysts See a 35% Upside in Apple Hospitality REIT (APLE): Can the Stock Really Move This High?,negative
APLE,2022-06-21,09:00AM,Apple Hospitality REIT Announces July 2022 Distribution,neutral
APLE,2022-06-16,04:15PM,Apple Hospitality REIT Recognizes Hotel Associates with 2021 Apple Awards,neutral
APLE,2022-06-15,04:21PM,Top Hotel Stocks for Q3 2022,neutral
APLE,2022-06-15,04:15PM,Apple Hospitality REIT Announces Dates for Second Quarter 2022 Earnings Release and Conference Call,neutral
APLE,2022-05-26,09:06AM,Is the Options Market Predicting a Spike in Apple Hospitality (APLE) Stock?,neutral
APLE,2022-05-19,09:00AM,Apple Hospitality REIT Announces June 2022 Distribution,neutral
APLE,2022-05-05,04:15PM,Apple Hospitality REIT Reports Results of Operations for First Quarter 2022,neutral
